"ip","app","device","os","channel","click_time","attributed_time","is_attributed"
169452,3,1,19,409,"2017-11-07 02:40:45","",0
114120,8,1,19,145,"2017-11-08 03:58:58","",0
53881,12,1,13,140,"2017-11-09 02:33:18","",0
100929,12,1,26,424,"2017-11-08 02:43:14","",0
16464,3,1,13,480,"2017-11-07 04:25:58","",0
310891,2,1,13,219,"2017-11-09 12:28:20","",0
106749,28,1,19,135,"2017-11-08 11:50:23","",0
53960,2,1,20,205,"2017-11-07 14:30:08","",0
266451,15,1,17,480,"2017-11-08 09:04:01","",0
97738,18,1,17,107,"2017-11-08 15:18:54","",0
8297,3,1,18,280,"2017-11-08 11:33:10","",0
12340,18,1,13,376,"2017-11-08 00:33:05","",0
78801,3,1,18,280,"2017-11-08 11:18:12","",0
73442,13,1,19,400,"2017-11-07 11:05:11","",0
132764,9,1,19,442,"2017-11-07 06:45:55","",0
52988,2,1,11,452,"2017-11-09 10:46:46","",0
229026,15,1,2,460,"2017-11-08 03:03:41","",0
56635,12,1,37,481,"2017-11-07 04:34:16","",0
190943,7,1,13,101,"2017-11-09 11:47:49","",0
188929,2,1,19,435,"2017-11-09 13:47:05","",0
109743,8,2,9,145,"2017-11-06 21:15:39","",0
57802,9,1,22,244,"2017-11-09 14:05:39","",0
106407,6,1,35,459,"2017-11-07 10:26:55","",0
103247,14,1,19,442,"2017-11-08 05:10:57","",0
83631,3,1,18,480,"2017-11-08 02:22:08","",0
18126,18,1,3,107,"2017-11-07 00:46:14","",0
191817,12,1,19,328,"2017-11-08 23:44:06","",0
143518,2,1,19,219,"2017-11-07 10:52:15","",0
38520,12,1,19,265,"2017-11-09 10:55:05","",0
179006,3,1,13,280,"2017-11-08 06:21:01","",0
363136,15,1,10,265,"2017-11-09 05:23:31","",0
72371,9,1,22,445,"2017-11-07 10:40:57","",0
5128,23,1,19,153,"2017-11-08 08:22:20","",0
48495,2,1,13,377,"2017-11-09 15:23:40","",0
84896,12,1,13,265,"2017-11-07 04:37:27","",0
302,12,1,30,497,"2017-11-07 23:15:48","",0
59361,18,1,41,107,"2017-11-07 01:18:25","",0
104207,45,1,13,411,"2017-11-07 14:42:33","",0
86198,3,1,1,379,"2017-11-09 03:56:21","",0
73147,9,1,19,466,"2017-11-08 10:25:15","",0
18956,64,1,13,459,"2017-11-07 05:55:16","",0
1990,18,1,20,121,"2017-11-08 13:12:06","",0
8780,12,1,34,340,"2017-11-09 12:33:10","",0
8580,3,1,17,280,"2017-11-09 04:13:27","",0
131098,3,1,19,424,"2017-11-07 04:39:32","",0
55881,18,1,23,439,"2017-11-09 02:06:51","",0
28131,5,1,19,377,"2017-11-09 08:24:16","",0
39400,3,1,22,280,"2017-11-08 10:48:15","",0
183594,12,1,19,328,"2017-11-08 08:47:23","",0
7793,3,1,53,379,"2017-11-08 00:01:05","",0
193380,425,3032,607,347,"2017-11-07 14:22:51","",0
39328,9,1,19,334,"2017-11-07 04:50:41","",0
81226,18,1,13,107,"2017-11-09 10:27:46","",0
5178,18,1,13,134,"2017-11-08 13:25:03","",0
37948,2,1,13,477,"2017-11-08 12:19:10","",0
77111,2,1,19,236,"2017-11-06 16:12:40","",0
101250,11,1,20,122,"2017-11-08 14:27:18","",0
179957,12,1,17,497,"2017-11-08 15:24:45","",0
138561,3,1,20,280,"2017-11-08 11:24:57","",0
50223,15,2,19,3,"2017-11-08 17:48:33","",0
69136,2,1,13,237,"2017-11-07 16:29:02","",0
166527,13,1,17,477,"2017-11-07 01:18:35","",0
230802,18,1,15,449,"2017-11-08 03:00:11","",0
26995,3,1,19,424,"2017-11-07 11:26:54","",0
287263,19,0,0,343,"2017-11-08 03:54:20","",0
119792,5,1,6,377,"2017-11-07 12:40:49","",0
137052,2,1,13,122,"2017-11-08 08:42:27","",0
39762,9,1,18,244,"2017-11-07 06:18:51","",0
79433,3,1,8,130,"2017-11-07 03:04:39","",0
167092,3,1,8,280,"2017-11-07 05:33:39","",0
118975,2,1,23,435,"2017-11-08 09:54:04","",0
111025,26,1,18,262,"2017-11-09 08:23:06","",0
194809,3,1,37,211,"2017-11-08 03:50:31","",0
39320,12,1,10,178,"2017-11-08 03:01:59","",0
12182,7,1,25,101,"2017-11-09 04:59:36","",0
5011,26,1,19,121,"2017-11-08 15:01:21","",0
3964,9,1,47,466,"2017-11-07 15:10:16","",0
48158,3,1,13,137,"2017-11-08 16:34:42","",0
85180,3,1,13,280,"2017-11-07 11:08:22","",0
121384,12,1,8,245,"2017-11-07 23:40:51","",0
40005,9,1,13,232,"2017-11-09 08:31:28","",0
142571,18,1,1,107,"2017-11-08 05:14:27","",0
98454,15,1,13,130,"2017-11-08 01:43:37","",0
108913,1,1,13,124,"2017-11-07 16:48:00","",0
58545,3,1,19,442,"2017-11-06 16:48:51","",0
193980,2,1,53,122,"2017-11-07 13:38:23","",0
84770,6,1,18,459,"2017-11-07 05:20:03","",0
115340,3,1,19,480,"2017-11-07 15:50:58","",0
147134,15,1,27,130,"2017-11-07 06:03:26","",0
199418,1,1,13,125,"2017-11-07 04:25:33","",0
36448,3,1,13,130,"2017-11-07 15:15:19","",0
20112,3,1,23,280,"2017-11-09 05:43:17","",0
41774,18,2,56,121,"2017-11-08 17:26:48","",0
8430,3,1,15,280,"2017-11-08 12:09:48","",0
25028,14,1,22,134,"2017-11-08 04:49:29","",0
24726,18,1,17,107,"2017-11-09 06:23:39","",0
78880,9,1,13,232,"2017-11-09 06:15:37","",0
13346,24,1,3,105,"2017-11-07 05:01:16","",0
18039,15,1,19,315,"2017-11-09 04:32:46","",0
17860,15,1,14,245,"2017-11-09 05:10:12","",0
22189,2,1,13,364,"2017-11-08 16:28:25","",0
100131,12,1,19,160,"2017-11-07 23:46:22","",0
9238,9,1,9,215,"2017-11-06 18:14:27","",0
83360,18,1,15,121,"2017-11-06 23:09:21","",0
92279,4,1,26,101,"2017-11-08 02:38:42","",0
8356,15,1,17,153,"2017-11-07 12:58:45","",0
23642,5,1,19,377,"2017-11-09 08:14:07","",0
14591,12,1,19,145,"2017-11-07 10:08:31","",0
37650,14,1,9,463,"2017-11-07 23:27:08","",0
